Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Name,Team,Min,Ur,Fd,Value,Name,Fpts,Value
41866-110307,PF,Dewan,Dewan Hernandez,Hernandez,3.599999905,4,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-16301,C,Dewayne,Dewayne Dedmon,Dedmon,11.85714286,21,3700,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-16220,SF,Dion,Dion Waiters,Waiters,20.402273,44,3700,NY@MIA,MIA,NY,O,Suspension,,0,,,,,,,,,
41866-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,23.31,27,4200,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-18256,SF,Doug,Doug McDermott,McDermott,14.42857143,28,3600,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-85137,SG,Duncan,Duncan Robinson,Robinson,22.33,28,4400,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-16196,C,Dwight,Dwight Powell,Powell,18.91666667,24,4400,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-110341,SG,Dylan,Dylan Windler,Windler,0,0,3500,MEM@CLE,CLE,MEM,O,Lower leg,,0,,,,,,,,,
41866-14554,SF,E'Twaun,E'Twaun Moore,Moore,16.77647131,17,3700,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-58270,PG,Edmond,Edmond Sumner,Sumner,11.65999985,5,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-19138,PG,Elfrid,Elfrid Payton,Payton,23.86,11,4600,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-84686,SG,Elie,Elie Okobo,Okobo,9.931578787,19,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-14516,C,Enes,Enes Kanter,Kanter,19.88888889,18,3900,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-110323,PF,Eric,Eric Paschall,Paschall,23.7,26,5000,NO@GS,GS,NO,GTD,Hip,,0,,,,,,,,,
41866-80824,PG,Frank,Frank Jackson,Jackson,9.956521739,23,3500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-80813,PG,Frank,Frank Ntilikina,Ntilikina,16.99230722,26,3900,NY@MIA,NY,MIA,GTD,Illness,,0,,,,,,,,,
41866-24247,SG,Fred,Fred VanVleet,VanVleet,36.7,22,7100,WAS@TOR,TOR,WAS,GTD,Knee,,0,,,,,,,,,
41866-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,12.86428615,28,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-111622,SG,Garrison,Garrison Mathews,Mathews,4.040000153,5,3500,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-84695,SG,Gary,Gary Trent,Trent,6.566666667,15,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-23800,SF,Glenn,Glenn Robinson,Robinson,21.82,29,4500,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-110359,C,Goga,Goga Bitadze,Bitadze,10.20476205,21,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-9673,PG,Goran,Goran Dragic,Dragic,27.36666701,18,5200,NY@MIA,MIA,NY,GTD,Groin,,0,,,,,,,,,
41866-12366,SF,Gordon,Gordon Hayward,Hayward,32.17272672,11,6600,DET@BOS,BOS,DET,GTD,Foot,,0,,,,,,,,,
41866-15771,C,Gorgui,Gorgui Dieng,Dieng,25.8,22,4400,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-110318,PF,Grant,Grant Williams,Williams,8.117391172,23,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-84711,SG,Grayson,Grayson Allen,Allen,14.08461585,13,3800,MEM@CLE,MEM,CLE,GTD,Ankle,,0,,,,,,,,,
41866-84699,SG,Hamidou,Hamidou Diallo,Diallo,18.93333308,12,3700,PHO@OKC,OKC,PHO,O,Elbow,,0,,,,,,,,,
41866-80819,PF,Harry,Harry Giles,Giles,7.128571647,7,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-110335,SF,Ignas,Ignas Brazdeikis,Brazdeikis,3.428571429,7,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-84722,SF,Isaac,Isaac Bonga,Bonga,10.91904776,21,3500,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-110346,PF,Isaiah,Isaiah Roby,Roby,0,0,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-14559,PG,Isaiah,Isaiah Thomas,Thomas,22.84,19,4900,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-12511,PG,Ish,Ish Smith,Smith,21.84230863,26,4600,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-67025,PF,Ivan,Ivan Rabb,Rabb,13.67755127,49,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-9495,PG,J.J.,J.J. Barea,Barea,16.4857145,7,3800,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-84697,SG,Jacob,Jacob Evans,Evans,9.287500381,8,3500,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-58083,C,Jahlil,Jahlil Okafor,Okafor,18.46111043,18,3900,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-16183,SF,JaKarr,JaKarr Sampson,Sampson,12.42222256,9,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-23780,SF,Jake,Jake Layman,Layman,18.62142944,14,3500,MIN@DEN,MIN,DEN,GTD,Toe,,0,,,,,,,,,
41866-116202,PG,Jalen,Jalen Lecque,Lecque,0,0,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-17491,SF,James,James Ennis,Ennis,14.06206854,29,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-9966,PF,James,James Johnson,Johnson,8.366666794,6,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-117819,PG,Jared,Jared Harper,Harper,0,1,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-84721,SF,Jarred,Jarred Vanderbilt,Vanderbilt,0.966666698,3,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-110333,SF,Jarrett,Jarrett Culver,Culver,18.64400024,25,3900,MIN@DEN,MIN,DEN,GTD,Illness,,0,,,,,,,,,
41866-112709,SG,Javonte,Javonte Green,Green,5.131578947,19,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-110340,C,Jaxson,Jaxson Hayes,Hayes,24.98,26,4500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-115802,SF,Jaylen,Jaylen Hoard,Hoard,4.279999924,5,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-110317,PG,Jaylen,Jaylen Nowell,Nowell,3.849999905,2,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-23831,PF,Jerami,Jerami Grant,Grant,20.11,26,3800,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-15559,SG,Jeremy,Jeremy Lamb,Lamb,27.21052632,19,5000,SAC@IND,IND,SAC,GTD,Groin,,0,,,,,,,,,
41866-84696,PG,Jevon,Jevon Carter,Carter,11.22222222,18,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-15952,PF,John,John Henson,Henson,14.11999969,10,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-111376,SG,John,John Konchar,Konchar,0,1,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-58574,PF,Jonah,Jonah Bolden,Bolden,2,2,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-40769,PF,Jordan,Jordan Bell,Bell,9.618749619,16,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-110311,PG,Jordan,Jordan Bone,Bone,0.666666667,3,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,7.599999905,4,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-16230,SG,Jordan,Jordan McRae,McRae,17.630769,13,3900,WAS@TOR,WAS,TOR,GTD,Finger,,0,,,,,,,,,
41866-110322,SG,Jordan,Jordan Poole,Poole,14.19629584,27,3500,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-82697,PG,Josh,Josh Gray,Gray,1.200000048,2,3500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-80809,SF,Josh,Josh Jackson,Jackson,23.01139271,79,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-74163,PG,Josh,Josh Magette,Magette,4.866666794,3,3500,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-84689,SF,Josh,Josh Okogie,Okogie,24.52,24,3800,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-113305,SG,Josh,Josh Reaves,Reaves,0,0,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-70822,SF,Juancho,Juancho Hernangomez,Hernangomez,8.34375,16,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-16604,SF,Justin,Justin Holiday,Holiday,20.75,28,3900,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-58134,SF,Justin,Justin Jackson,Jackson,10.27692355,26,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-110334,SG,Justin,Justin James,James,8.541666667,12,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-66424,C,Justin,Justin Patton,Patton,1.700000048,2,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-111371,PG,Justin,Justin Robinson,Robinson,2.183333397,6,3500,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-58084,SF,Justise,Justise Winslow,Winslow,28.07000122,10,4900,NY@MIA,MIA,NY,O,Back,,0,,,,,,,,,
41866-58289,SG,Kadeem,Kadeem Allen,Allen,14,1,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,50.88261082,23,10600,MIN@DEN,MIN,DEN,GTD,Knee,,0,,,,,,,,,
41866-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,12.97142901,14,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-115612,SF,Kelan,Kelan Martin,Martin,8.077777439,9,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-22541,C,Kelly,Kelly Olynyk,Olynyk,18.81785801,28,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-85305,SF,Kenrich,Kenrich Williams,Williams,17.97407362,27,3700,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-19781,SF,Kent,Kent Bazemore,Bazemore,22.79,28,4500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-84685,SF,Kevin,Kevin Hervey,Hervey,0,0,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-84674,SF,Kevin,Kevin Knox,Knox,15.27407385,27,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-110345,SF,Kevin,Kevin Porter,Porter,19.89,27,4000,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-58576,C,Kevon,Kevon Looney,Looney,8.037500381,8,3500,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-16081,PF,Khem,Khem Birch,Birch,16.375,16,4200,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-84723,SG,Khyri,Khyri Thomas,Thomas,0.5,2,3500,DET@BOS,DET,BOS,O,Foot,,0,,,,,,,,,
41866-111671,PG,Ky,Ky Bowman,Bowman,17.60769184,26,3600,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-23716,SG,Kyle,Kyle Anderson,Anderson,18.13636364,22,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-110358,SG,Kyle,Kyle Guy,Guy,0,0,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-17384,C,Kyle,Kyle O'Quinn,O'Quinn,11.39411747,17,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-110309,SF,KZ,KZ Okpala,Okpala,0.066666668,3,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-17230,SG,Langston,Langston Galloway,Galloway,23.64,28,3800,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-20992,PF,Larry,Larry Nance,Nance,22.59615385,26,4000,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-117297,SF,Louis,Louis King,King,0,0,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-111273,SG,Luguentz,Luguentz Dort,Dort,5.679999924,5,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-84669,PG,Luka,Luka Doncic,Doncic,53.67200195,25,10300,DAL@PHI,DAL,PHI,O,Ankle,,0,,,,,,,,,
41866-66046,SF,Luke,Luke Kennard,Kennard,26.77036992,27,5100,DET@BOS,DET,BOS,GTD,Knee,,0,,,,,,,,,
41866-18811,PF,Malcolm,Malcolm Miller,Miller,2.800000117,13,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-66064,SG,Malik,Malik Beasley,Beasley,10.03157927,19,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-9581,C,Marc,Marc Gasol,Gasol,24.21481436,27,5300,WAS@TOR,TOR,WAS,O,Hamstring,,0,,,,,,,,,
41866-23670,SG,Marcus,Marcus Smart,Smart,26.59500122,20,4800,DET@BOS,BOS,DET,O,Eye,,0,,,,,,,,,
41866-110330,SG,Marial,Marial Shayok,Shayok,0,0,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-63123,SF,Mario,Mario Hezonja,Hezonja,12,24,3500,ORL@POR,POR,ORL,GTD,Back,,0,,,,,,,,,
41866-113306,SG,Marko,Marko Guduric,Guduric,10.0615387,26,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-67707,PF,Marquese,Marquese Chriss,Chriss,20.28571429,28,4000,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-15590,C,Mason,Mason Plumlee,Plumlee,20.11922983,26,3900,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-110320,SF,Matisse,Matisse Thybulle,Thybulle,13.85357121,28,3700,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-110827,SG,Matt,Matt Thomas,Thomas,7.21666654,12,3500,WAS@TOR,TOR,WAS,O,Finger,,0,,,,,,,,,
41866-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,7.946154081,26,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-81621,PF,Maxi,Maxi Kleber,Kleber,18.46538485,26,3900,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-84720,SF,Melvin,Melvin Frazier,Frazier,1.539999962,5,3500,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-15669,C,Meyers,Meyers Leonard,Leonard,13.625,28,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,16.22777812,18,3700,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-84682,PF,Michael,Michael Porter,Porter,8.994117288,17,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-84670,SF,Mikal,Mikal Bridges,Bridges,24.18,27,4400,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-17894,PF,Mike,Mike Muscala,Muscala,8.011764526,17,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-16368,PF,Mike,Mike Scott,Scott,12.22068944,29,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-84675,C,Mo,Mo Bamba,Bamba,16.81538508,26,4300,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-40396,PG,Monte,Monte Morris,Morris,15.77692355,26,3900,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-84714,C,Moritz,Moritz Wagner,Wagner,22.82857114,21,5100,WAS@TOR,WAS,TOR,O,Ankle,,0,,,,,,,,,
41866-117286,C,Moses,Moses Brown,Brown,5.199999809,4,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-110343,SF,Nassir,Nassir Little,Little,11.68888855,18,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-23155,SG,Naz,Naz Mitrou-Long,Mitrou-Long,11.90000025,3,3600,SAC@IND,IND,SAC,GTD,Ankle,,0,,,,,,,,,
41866-110995,PF,Naz,Naz Reid,Reid,2.099999905,2,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-23825,PF,Nerlens,Nerlens Noel,Noel,21.75769278,26,4600,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,12.15833282,24,3500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-110697,PF,Nicolo,Nicolo Melli,Melli,11.33333333,24,3500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-42661,PF,Noah,Noah Vonleh,Vonleh,9.788234935,17,3500,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-16293,SG,Norman,Norman Powell,Powell,24.55555556,27,5300,WAS@TOR,TOR,WAS,O,Shoulder,,0,,,,,,,,,
41866-96775,PF,Norvel,Norvel Pelle,Pelle,16.45000076,4,3600,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-84705,PF,Omari,Omari Spellman,Spellman,17.46428571,28,3600,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-117283,SF,Oshae,Oshae Brissett,Brissett,1.339999962,5,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-66196,SG,P.J.,P.J. Dozier,Dozier,8.816666921,6,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-60021,SF,Pascal,Pascal Siakam,Siakam,43.21851942,27,9200,WAS@TOR,TOR,WAS,O,Groin,,0,,,,,,,,,
41866-58658,SG,Patrick,Patrick McCaw,McCaw,8.733333588,6,3900,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-40208,PG,Raul,Raul Neto,Neto,8.72307704,26,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-15947,SG,Reggie,Reggie Bullock,Bullock,19.09682501,63,3900,NY@MIA,NY,MIA,GTD,Back,,0,,,,,,,,,
41866-14523,PG,Reggie,Reggie Jackson,Jackson,13.5,2,4200,DET@BOS,DET,BOS,O,Back,,0,,,,,,,,,
41866-84708,C,Robert,Robert Williams,Williams,16.20526284,19,3700,DET@BOS,BOS,DET,O,Hip,,0,,,,,,,,,
41866-15904,SF,Rodney,Rodney Hood,Hood,19.44761876,21,3900,ORL@POR,POR,ORL,O,Achilles,,0,,,,,,,,,
41866-110321,SG,Romeo,Romeo Langford,Langford,0.75,2,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-110349,PF,Rui,Rui Hachimura,Hachimura,25,25,5700,WAS@TOR,WAS,TOR,O,Groin,,0,,,,,,,,,
41866-84833,PF,Ryan,Ryan Broekhoff,Broekhoff,4.950000127,6,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-110639,PF,Sekou,Sekou Doumbouya,Doumbouya,2.099999905,4,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-48598,SF,Semi,Semi Ojeleye,Ojeleye,7.144000244,25,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-15583,PG,Seth,Seth Curry,Curry,16.77599976,25,4100,DAL@PHI,DAL,PHI,GTD,Back,,0,,,,,,,,,
41866-15560,PG,Shabazz,Shabazz Napier,Napier,16.29999978,14,3700,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-84691,PG,Shake,Shake Milton,Milton,5.122222053,9,3600,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-110910,PG,Shamorie,Shamorie Ponds,Ponds,3.73333327,3,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-66109,PF,Skal,Skal Labissiere,Labissiere,15.85357121,28,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-15417,SF,Solomon,Solomon Hill,Hill,15.46538485,26,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-58350,SF,Stanley,Stanley Johnson,Johnson,2.879999924,5,3500,WAS@TOR,TOR,WAS,GTD,Groin,,0,,,,,,,,,
41866-9524,PG,Stephen,Stephen Curry,Curry,37.5,4,3500,NO@GS,GS,NO,O,Hand,,0,,,,,,,,,
41866-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,9.104347561,23,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-80818,PF,T.J.,T.J. Leaf,Leaf,9.6823533,17,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-18393,PG,T.J.,T.J. McConnell,McConnell,21.42,26,4200,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-23120,SF,T.J.,T.J. Warren,Warren,25.14,28,5000,SAC@IND,IND,SAC,GTD,Illness,,0,,,,,,,,,
41866-112710,C,Tacko,Tacko Fall,Fall,6.599999905,1,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-9481,PF,Taj,Taj Gibson,Gibson,14.28076876,26,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-116340,SG,Terence,Terence Davis,Davis,13.52222245,27,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-80820,SG,Terrance,Terrance Ferguson,Ferguson,11.10000029,21,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-16405,SG,Terrence,Terrence Ross,Ross,20.88,26,4100,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-67312,C,Thomas,Thomas Bryant,Bryant,31.14444309,18,5700,WAS@TOR,WAS,TOR,O,Foot,,0,,,,,,,,,
41866-70820,C,Thon,Thon Maker,Maker,8.107692425,26,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-16071,PG,Tim,Tim Frazier,Frazier,9.114285605,14,3500,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-17517,SG,Tony,Tony Snell,Snell,13.86250051,24,3600,DET@BOS,DET,BOS,,,,0,,,,,,,,,
41866-20277,SG,Torrey,Torrey Craig,Craig,9.468420731,19,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-110319,PG,Tremont,Tremont Waters,Waters,20.89999962,1,3600,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-20806,SG,Treveon,Treveon Graham,Graham,12.34400024,25,3600,MIN@DEN,MIN,DEN,,,,0,,,,,,,,,
41866-9538,SF,Trevor,Trevor Ariza,Ariza,14.43000031,20,3700,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-15843,PG,Trey,Trey Burke,Burke,15.25,10,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-110331,SG,Ty,Ty Jerome,Jerome,12.88571385,7,3900,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-115994,PF,Tyler,Tyler Cook,Cook,3.333333333,6,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-110312,SG,Tyler,Tyler Herro,Herro,25.35,27,4900,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-18600,PG,Tyler,Tyler Johnson,Johnson,12.75999985,20,3600,PHO@OKC,PHO,OKC,GTD,Illness,,0,,,,,,,,,
41866-58081,PG,Tyus,Tyus Jones,Jones,16.98928615,28,3700,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-9589,PF,Udonis,Udonis Haslem,Haslem,4.300000191,2,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-15684,SG,Victor,Victor Oladipo,Oladipo,36.8722229,36,7400,SAC@IND,IND,SAC,O,Knee,,0,,,,,,,,,
41866-110881,C,Vincent,Vincent Poirier,Poirier,5.166666667,9,3500,DET@BOS,BOS,DET,O,Finger,,0,,,,,,,,,
41866-117285,SF,Vlatko,Vlatko Cancar,Cancar,0,1,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-9956,SG,Wayne,Wayne Ellington,Ellington,8.044444614,18,3500,NY@MIA,NY,MIA,O,Achilles,,0,,,,,,,,,
41866-85466,PF,Wenyen,Wenyen Gabriel,Gabriel,5.585714068,7,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-48940,SF,Wes,Wes Iwundu,Iwundu,8.635714395,14,3500,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-23772,PG,Yogi,Yogi Ferrell,Ferrell,10.64545441,22,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-85238,SG,Yuta,Yuta Watanabe,Watanabe,3.75,4,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-80815,PF,Zach,Zach Collins,Collins,16.80000051,3,3500,ORL@POR,POR,ORL,O,Shoulder,,0,,,,,,,,,
41866-84672,SG,Zhaire,Zhaire Smith,Smith,12.76666641,6,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-110310,PF,Zion,Zion Williamson,Williamson,0,0,3500,NO@GS,NO,GS,O,Knee,,0,,,,,,,,,
41866-117305,PF,Zylan,Zylan Cheatham,Cheatham,3.049999952,2,3500,NO@GS,NO,GS,,,,0,,,,,,,,,