Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41885-62275,W,Travis,Travis Boyd,Boyd,6.04,17,3200,WSH@NJ,WSH,NJ,,,,0,
41885-66682,D,Travis,Travis Dermott,Dermott,6.3,22,3500,TOR@NYR,TOR,NYR,,,,0,3
41885-8475,C,Travis,Travis Zajac,Zajac,6.05,33,3400,WSH@NJ,NJ,WSH,,,,0,2
41885-42868,G,Tristan,Tristan Jarry,Jarry,17.64,15,8400,PIT@EDM,PIT,EDM,,,,,
41885-12417,C,Tyler,Tyler Seguin,Seguin,14.7,36,7400,DAL@FLA,DAL,FLA,,,,,1
41885-13981,D,Tyson,Tyson Barrie,Barrie,11.12,35,4700,TOR@NYR,TOR,NYR,,,,,1
41885-15283,C,Vincent,Vincent Trocheck,Trocheck,9.68,26,5200,DAL@FLA,FLA,DAL,,,,,2
41885-8404,W,Wayne,Wayne Simmonds,Simmonds,7.69,33,3600,WSH@NJ,NJ,WSH,,,,0,3
41885-82075,D,Will,Will Butcher,Butcher,6.9,31,3700,WSH@NJ,NJ,WSH,,,,,2
41885-59276,W,William,William Nylander,Nylander,11.71,35,5300,TOR@NYR,TOR,NYR,,,,,2
41885-79820,W,Zach,Zach Aston-Reese,Aston-Reese,6.67,34,3300,PIT@EDM,PIT,EDM,,,,0,2
41885-12609,W,Zach,Zach Hyman,Hyman,10.22,16,4400,TOR@NYR,TOR,NYR,,,,,1
41885-11152,W,Zack,Zack Kassian,Kassian,8.55,34,4700,PIT@EDM,EDM,PIT,,,,0,1
41885-74145,C,Adam,Adam Brooks,Brooks,0,0,3000,TOR@NYR,TOR,NYR,,,,0,
41885-82144,W,Adam,Adam Johnson,Johnson,4.685714177,7,3000,PIT@EDM,PIT,EDM,,,,0,
41885-68602,C,Aleksi,Aleksi Saarela,Saarela,2.133333365,3,3000,DAL@FLA,FLA,DAL,,,,0,
41885-62869,W,Andreas,Andreas Johnsson,Johnsson,9.36333313,30,5000,TOR@NYR,TOR,NYR,IR,Leg,,0,
41885-62724,W,Andreas,Andreas Martinsen,Martinsen,3.5,24,3000,PIT@EDM,PIT,EDM,,,,0,
41885-42628,W,Andrew,Andrew Agozzino,Agozzino,0,1,3000,PIT@EDM,PIT,EDM,,,,0,
41885-73983,W,Anthony,Anthony Greco,Greco,3.200000048,1,3000,DAL@FLA,FLA,DAL,,,,0,
41885-116896,C,Anthony,Anthony Nellis,Nellis,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-10929,W,Anthony,Anthony Peluso,Peluso,0.400000006,4,3000,PIT@EDM,EDM,PIT,,,,0,
41885-117230,W,Anton,Anton Burdasov,Burdasov,0,0,3000,PIT@EDM,EDM,PIT,,,,0,
41885-8893,G,Anton,Anton Khudobin,Khudobin,21.02857099,14,7800,DAL@FLA,DAL,FLA,,,,0,
41885-42855,D,Ben,Ben Harpur,Harpur,4.596078312,51,3500,TOR@NYR,TOR,NYR,,,,0,
41885-37884,C,Ben,Ben Street,Street,4.609523955,21,3000,WSH@NJ,NJ,WSH,,,,0,
41885-68634,C,Boo,Boo Nieves,Nieves,1.600000024,4,3000,TOR@NYR,NYR,TOR,,,,0,
41885-14177,C,Brad,Brad Malone,Malone,1.799999952,16,3000,PIT@EDM,EDM,PIT,,,,0,
41885-116895,W,Brad,Brad McClure,McClure,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-9416,G,Braden,Braden Holtby,Holtby,18.72,25,8300,WSH@NJ,WSH,NJ,,,,0,
41885-103079,D,Brady,Brady Keeper,Keeper,3.200000048,1,3500,DAL@FLA,FLA,DAL,,,,0,
41885-74070,W,Brandon,Brandon Gignac,Gignac,3.200000048,1,3000,WSH@NJ,NJ,WSH,,,,0,
41885-15398,D,Brandon,Brandon Manning,Manning,3.822222392,9,3500,PIT@EDM,EDM,PIT,,,,0,
41885-82808,W,Brett,Brett Seney,Seney,0.800000012,2,3000,WSH@NJ,NJ,WSH,,,,0,
41885-21926,D,Brian,Brian Dumoulin,Dumoulin,6.891304348,23,3700,PIT@EDM,PIT,EDM,IR,Ankle,,0,
41885-11245,D,Brian,Brian Strait,Strait,0,0,3500,WSH@NJ,NJ,WSH,,,,0,
41885-74064,G,Casey,Casey DeSmith,DeSmith,17.35555522,36,7000,PIT@EDM,PIT,EDM,,,,0,
41885-42853,G,Chris,Chris Driedger,Driedger,23.60000038,2,7000,DAL@FLA,FLA,DAL,,,,0,
41885-54744,D,Christian,Christian Djoos,Djoos,4.035555691,45,3500,WSH@NJ,WSH,NJ,,,,0,
41885-62374,C,Colby,Colby Cave,Cave,3.039999962,5,3000,PIT@EDM,EDM,PIT,,,,0,
41885-117141,C,Colt,Colt Conrad,Conrad,0,0,3000,TOR@NYR,TOR,NYR,,,,0,
41885-66726,D,Colton,Colton White,White,1.600000064,3,3500,WSH@NJ,NJ,WSH,,,,0,
41885-54527,W,Connor,Connor Brickley,Brickley,5.314285823,14,3000,TOR@NYR,NYR,TOR,,,,0,
41885-42844,D,Connor,Connor Carrick,Carrick,6,4,3500,WSH@NJ,NJ,WSH,,,,0,
41885-8781,G,Cory,Cory Schneider,Schneider,2.666666667,6,7000,WSH@NJ,NJ,WSH,,,,0,
41885-12880,W,Darren,Darren Archibald,Archibald,3.53333346,12,3000,TOR@NYR,TOR,NYR,,,,0,
41885-116891,W,Diego,Diego Cuglietta,Cuglietta,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-68603,W,Dryden,Dryden Hunt,Hunt,4.640000153,20,3100,DAL@FLA,FLA,DAL,,,,0,
41885-58986,D,Erik,Erik Burgdoerfer,Burgdoerfer,0.800000012,4,3500,WSH@NJ,WSH,NJ,,,,0,
41885-97129,D,Evan,Evan Bouchard,Bouchard,5.899999891,7,3500,PIT@EDM,EDM,PIT,,,,0,
41885-74066,G,Evan,Evan Cormier,Cormier,0,0,7000,WSH@NJ,NJ,WSH,,,,0,
41885-14486,W,Garrett,Garrett Wilson,Wilson,3.68,50,3000,TOR@NYR,TOR,NYR,,,,0,
41885-79822,D,Gavin,Gavin Bayreuther,Bayreuther,6.284210607,19,3500,DAL@FLA,DAL,FLA,,,,0,
41885-103622,G,Gilles,Gilles Senn,Senn,0,0,7000,WSH@NJ,NJ,WSH,,,,0,
41885-70921,C,Henrik,Henrik Borgstrom,Borgstrom,1.200000048,4,3000,DAL@FLA,FLA,DAL,,,,0,
41885-8532,G,Henrik,Henrik Lundqvist,Lundqvist,17.26315789,19,7200,TOR@NYR,NYR,TOR,,,,0,
41885-58679,W,Jack,Jack Rodewald,Rodewald,1.333333333,6,3000,DAL@FLA,FLA,DAL,,,,0,
41885-82170,W,Jason,Jason Robertson,Robertson,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-59012,W,Jayce,Jayce Hawryluk,Hawryluk,5.5,8,3000,DAL@FLA,FLA,DAL,DTD,Upper body,,0,
41885-70902,W,Jesse,Jesse Puljujarvi,Puljujarvi,4.671738998,46,3000,PIT@EDM,EDM,PIT,,,,0,
41885-15349,D,Joe,Joe Morrow,Morrow,4.468292608,41,3500,WSH@NJ,NJ,WSH,,,,0,
41885-66710,D,Joel,Joel Hanley,Hanley,4.400000095,8,3500,DAL@FLA,DAL,FLA,,,,0,
41885-107990,W,Joel,Joel Kiviranta,Kiviranta,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-96780,W,Joel,Joel L'Esperance,L'Esperance,5.599999746,3,3000,DAL@FLA,DAL,FLA,,,,0,
41885-84362,D,Joel,Joel Persson,Persson,4.553846213,13,3500,PIT@EDM,EDM,PIT,,,,0,
41885-82993,W,Joey,Joey Anderson,Anderson,5,34,3000,WSH@NJ,NJ,WSH,,,,0,
41885-79812,W,John,John Hayden,Hayden,2.763636329,11,3000,WSH@NJ,NJ,WSH,,,,0,
41885-117248,D,Jon,Jon Lizotte,Lizotte,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-62825,D,Jordan,Jordan Schmaltz,Schmaltz,3.440000153,20,3500,TOR@NYR,TOR,NYR,,,,0,
41885-79875,W,Joseph,Joseph Gambardella,Gambardella,2.880000051,15,3000,PIT@EDM,EDM,PIT,,,,0,
41885-74128,W,Josh,Josh Currie,Currie,5.028571356,21,3000,PIT@EDM,EDM,PIT,,,,0,
41885-66745,D,Josh,Josh Jacobs,Jacobs,3.200000048,1,3500,WSH@NJ,NJ,WSH,,,,0,
41885-58974,D,Julius,Julius Honka,Honka,4.910344617,29,3500,DAL@FLA,DAL,FLA,O,Contract dispute,,0,
41885-82120,W,Kailer,Kailer Yamamoto,Yamamoto,3.464705972,17,3000,PIT@EDM,EDM,PIT,,,,0,
41885-68651,W,Kalle,Kalle Kossila,Kossila,4.300000191,8,3000,TOR@NYR,TOR,NYR,,,,0,
41885-68637,G,Kasimir,Kasimir Kaskisuo,Kaskisuo,1.600000024,1,7000,TOR@NYR,TOR,NYR,,,,0,
41885-104485,W,Kasper,Kasper Bjorkqvist,Bjorkqvist,0,0,3000,PIT@EDM,PIT,EDM,,,,0,
41885-39105,W,Kenny,Kenny Agostino,Agostino,5.830158536,63,3000,TOR@NYR,TOR,NYR,,,,0,
41885-59140,D,Kevin,Kevin Gravel,Gravel,2.666666667,3,3500,TOR@NYR,TOR,NYR,,,,0,
41885-74067,C,Kevin,Kevin Rooney,Rooney,2.694736882,19,3000,WSH@NJ,NJ,WSH,,,,0,
41885-8417,C,Kyle,Kyle Brodziak,Brodziak,4.142857143,70,3000,PIT@EDM,EDM,PIT,,,,0,
41885-117089,W,Liam,Liam Pecararo,Pecararo,0,0,3000,DAL@FLA,FLA,DAL,,,,0,
41885-82083,C,Lias,Lias Andersson,Andersson,2.447058734,17,3100,TOR@NYR,NYR,TOR,,,,0,
41885-74148,D,Libor,Libor Hajek,Hajek,5.274073848,27,3500,TOR@NYR,NYR,TOR,O,Knee,,0,
41885-14483,G,Louis,Louis Domingue,Domingue,4.799999873,6,7000,WSH@NJ,NJ,WSH,IR,Lower body,,0,
41885-117106,C,Ludvig,Ludvig Larsson,Larsson,0,0,3000,WSH@NJ,NJ,WSH,,,,0,
41885-97091,D,Martin,Martin Fehervary,Fehervary,2.133333365,3,3500,WSH@NJ,WSH,NJ,,,,0,
41885-8575,C,Martin,Martin Hanzal,Hanzal,7.042857034,7,3000,DAL@FLA,DAL,FLA,IR,Back,,0,
41885-14184,D,Martin,Martin Marincin,Marincin,3.199999946,7,3500,TOR@NYR,TOR,NYR,,,,0,
41885-116883,D,Matt,Matt Abt,Abt,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-74127,D,Matt,Matt Benning,Benning,4.200000127,24,3500,PIT@EDM,EDM,PIT,IR,Head,,0,
41885-42869,G,Matt,Matt Murray,Murray,3.99,21,8000,PIT@EDM,PIT,EDM,,,,,
41885-13932,W,Matt,Matt Read,Read,3.799999873,12,3000,TOR@NYR,TOR,NYR,,,,0,
41885-117038,D,Matthew,Matthew Robertson,Robertson,0,0,3500,TOR@NYR,NYR,TOR,,,,0,
41885-11294,G,Michael,Michael Hutchinson,Hutchinson,6.514285496,7,7200,TOR@NYR,TOR,NYR,,,,0,
41885-116884,D,Michael,Michael Kim,Kim,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-12732,W,Michael,Michael Sgarbossa,Sgarbossa,0.800000012,2,3000,WSH@NJ,WSH,NJ,,,,0,
41885-9302,G,Michal,Michal Neuvirth,Neuvirth,4.914285932,7,7000,TOR@NYR,TOR,NYR,,,,0,
41885-9194,W,Micheal,Micheal Haley,Haley,2.293333435,15,3000,TOR@NYR,NYR,TOR,,,,0,
41885-9039,G,Mikko,Mikko Koskinen,Koskinen,17.67,22,8200,PIT@EDM,EDM,PIT,,,,0,
41885-74071,W,Nathan,Nathan Bastian,Bastian,8.342857361,7,3000,WSH@NJ,NJ,WSH,,,,0,
41885-116886,W,Nathan,Nathan Legare,Legare,0,0,3000,PIT@EDM,PIT,EDM,,,,0,
41885-42977,W,Nic,Nic Petan,Petan,3.799999952,16,3300,TOR@NYR,TOR,NYR,,,,0,
41885-39249,C,Nick,Nick Bjugstad,Bjugstad,4.720000076,10,3700,PIT@EDM,PIT,EDM,IR,Abdomen,,0,
41885-79910,W,Nick,Nick Caamano,Caamano,3.799999873,12,3000,DAL@FLA,DAL,FLA,,,,0,
41885-104277,D,Niclas,Niclas Almari,Almari,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-82049,W,Owen,Owen Tippett,Tippett,0,0,3000,DAL@FLA,FLA,DAL,,,,0,
41885-116893,W,Parker,Parker MacKay,MacKay,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-8765,W,Patric,Patric Hornqvist,Hornqvist,11.25,20,5500,PIT@EDM,PIT,EDM,IR,Lower body,,0,
41885-70487,W,Patrick,Patrick Russell,Russell,4.088888945,27,3000,PIT@EDM,EDM,PIT,,,,0,
41885-54028,G,Pheonix,Pheonix Copley,Copley,17.24444467,27,7000,WSH@NJ,WSH,NJ,,,,0,
41885-54193,W,Phillip,Phillip Di Giuseppe,Di Giuseppe,4.166666667,24,3000,TOR@NYR,NYR,TOR,,,,0,
41885-54577,W,Pontus,Pontus Aberg,Aberg,4.26666673,3,3000,TOR@NYR,TOR,NYR,,,,0,
41885-97176,D,Rasmus,Rasmus Sandin,Sandin,4.799999873,6,3500,TOR@NYR,TOR,NYR,,,,0,
41885-103095,W,Rhett,Rhett Gardner,Gardner,2,8,3000,DAL@FLA,DAL,FLA,,,,0,
41885-73987,D,Riley,Riley Stillman,Stillman,5.866666794,3,3500,DAL@FLA,FLA,DAL,,,,0,
41885-68649,D,Rob,Rob O'Gara,O'Gara,0,0,3500,DAL@FLA,FLA,DAL,,,,0,
41885-66693,G,Sam,Sam Montembeault,Montembeault,12,7,7000,DAL@FLA,FLA,DAL,,,,0,
41885-116887,W,Sam,Sam Poulin,Poulin,0,0,3000,PIT@EDM,PIT,EDM,,,,0,
41885-8579,W,Scottie,Scottie Upshall,Upshall,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-82835,C,Shane,Shane Gersich,Gersich,0,0,3000,WSH@NJ,WSH,NJ,,,,0,
41885-8594,C,Sidney,Sidney Crosby,Crosby,14.25294136,17,8000,PIT@EDM,PIT,EDM,IR,Groin,,0,
41885-54482,D,Stephen,Stephen Johns,Johns,0,0,3500,DAL@FLA,DAL,FLA,IR,Head,,0,
41885-68639,W,Steven,Steven Fogarty,Fogarty,1.920000076,10,3000,TOR@NYR,NYR,TOR,,,,0,
41885-62310,C,Tanner,Tanner Kero,Kero,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
41885-108240,D,Tarmo,Tarmo Reunanen,Reunanen,0,0,3500,TOR@NYR,NYR,TOR,,,,0,
41885-13629,D,Taylor,Taylor Fedun,Fedun,7.127272866,22,3500,DAL@FLA,DAL,FLA,,,,0,
41885-104173,D,Teemu,Teemu Kivihalme,Kivihalme,0,0,3500,TOR@NYR,TOR,NYR,,,,0,
41885-116900,D,Thomas,Thomas Harley,Harley,0,0,3500,DAL@FLA,DAL,FLA,,,,0,
41885-74025,W,Tim,Tim Gettinger,Gettinger,7.199999809,2,3000,TOR@NYR,NYR,TOR,,,,0,
41885-15363,W,Tomas,Tomas Jurco,Jurco,2.666666667,12,3000,PIT@EDM,EDM,PIT,,,,0,
41885-74112,W,Trevor,Trevor Moore,Moore,1.12,21,3100,TOR@NYR,TOR,NYR,,,,0,
41885-15341,W,Ty,Ty Rattie,Rattie,5.002000122,50,3000,PIT@EDM,EDM,PIT,,,,0,
41885-97213,D,Ty,Ty Smith,Smith,0,0,3500,WSH@NJ,NJ,WSH,,,,0,
41885-49563,C,Tyler,Tyler Gaudet,Gaudet,0,0,3000,TOR@NYR,TOR,NYR,,,,0,
41885-42846,D,Tyler,Tyler Lewington,Lewington,2.399999936,6,3500,WSH@NJ,WSH,NJ,,,,0,
41885-83218,W,Ville,Ville Meskanen,Meskanen,0,0,3000,TOR@NYR,NYR,TOR,,,,0,
41885-79866,W,Vinni,Vinni Lettieri,Lettieri,4.09629624,27,3200,TOR@NYR,NYR,TOR,,,,0,
41885-104016,W,Vitali,Vitali Kravtsov,Kravtsov,0,0,3000,TOR@NYR,NYR,TOR,,,,0,
41885-117268,D,Yegor,Yegor Rykov,Rykov,0,0,3500,TOR@NYR,NYR,TOR,,,,0,
41885-21649,D,Zach,Zach Trotman,Trotman,4.159999847,5,3500,PIT@EDM,PIT,EDM,,,,0,